10346;ST LEGER SOUS MARGERIE;10330;;ST LEGER SOUS MARGERIE;48.530849094,4.48665807166
11023;BADENS;11800;;BADENS;43.2207146123,2.50470148133
02584;PAPLEUX;02260;;PAPLEUX;50.0169167744,3.88023781289
10353;ST MESMIN;10280;;ST MESMIN;48.4369664082,3.89872863616
11024;BAGES;11100;;BAGES;43.1176416685,2.97718129024
02598;PERNANT;02200;;PERNANT;49.3756522114,3.23031459047
10356;ST OULPH;10170;;ST OULPH;48.5266441925,3.87406836475
11026;BARAIGNE;11410;;BARAIGNE;43.3308772937,1.82285483659
02599;PIERREMANDE;02300;;PIERREMANDE;49.566550412,3.25836777343
10367;LA SAULSOTTE;10400;;LA SAULSOTTE;48.5502087528,3.50552882992
11034;BELVEZE DU RAZES;11240;;BELVEZE DU RAZES;43.1243426589,2.09178940091
02600;PIERREPONT;02350;;PIERREPONT;49.6482784601,3.78777546723
10368;SAVIERES;10600;;SAVIERES;48.4057771573,3.935288338
11041;BIZE MINERVOIS;11120;;BIZE MINERVOIS;43.3290216831,2.87155465865
02604;PITHON;02480;;PITHON;49.7562365167,3.10422093946
10369;SEMOINE;10700;;SEMOINE;48.6735130864,4.09378069924
11057;CAHUZAC;11420;;CAHUZAC;43.1910457149,1.8547719586
02609;PLOYART ET VAURSEINE;02860;;PLOYART ET VAURSEINE;49.493253698,3.74014252866
10379;TORCY LE GRAND;10700;;TORCY LE GRAND;48.5234326195,4.16799145735
11065;CAMPS SUR L AGLY;11190;;CAMPS SUR L AGLY;42.8638864709,2.41909357872
02610;POMMIERS;02200;;POMMIERS;49.3921873782,3.27884937169
10383;TRANCAULT;10290;;TRANCAULT;48.3711938779,3.53292444285
11069;CARCASSONNE;11000;MONTREDON;CARCASSONNE;43.2093798444,2.34398855385
02619;PREMONTRE;02320;;PREMONTRE;49.5493580112,3.4177638358
10391;VAILLY;10150;;VAILLY;48.3723387031,4.12583904396
11072;LA CASSAIGNE;11270;;LA CASSAIGNE;43.1959217452,1.98943286044
02621;PRESLES ET THIERNY;02860;;PRESLES ET THIERNY;49.5144603614,3.62483361601
10397;VAUCHONVILLIERS;10140;;VAUCHONVILLIERS;48.266444897,4.53268851278
11078;CASTELRENG;11300;;CASTELRENG;43.0207809156,2.12731730664
02625;PROIX;02120;;PROIX;49.9022161869,3.57346862626
10398;VAUCOGNE;10240;;VAUCOGNE;48.5333241035,4.34483013658
11080;VAL DE LAMBRONNE;11230;GUEYTES ET LABASTIDE;VAL DE LAMBRONNE;43.074926897,1.97483631739
02631;QUIERZY;02300;;QUIERZY;49.5641090409,3.14613795931
10400;VAUPOISSON;10700;;VAUPOISSON;48.5007015249,4.216312839
11081;CAUNES MINERVOIS;11160;;CAUNES MINERVOIS;43.3327963198,2.51635482478
02637;REMAUCOURT;02100;;REMAUCOURT;49.8954350618,3.34948034131
10401;VENDEUVRE SUR BARSE;10140;;VENDEUVRE SUR BARSE;48.2461425886,4.46090923858
11100;CORBIERES;11230;;CORBIERES;43.0452528312,1.99980584945
02639;REMIGNY;02440;;REMIGNY;49.7141625709,3.29518707017
10403;VERNONVILLIERS;10200;;VERNONVILLIERS;48.3146477146,4.67938075644
11101;COUDONS;11500;;COUDONS;42.8636835943,2.11985831912
02641;RENNEVAL;02340;;RENNEVAL;49.7391714019,4.03674170066
10405;VERRICOURT;10240;;VERRICOURT;48.4529660787,4.33421102008
11105;COURNANEL;11300;;COURNANEL;43.0297699245,2.23528266508
02648;RIBEMONT;02240;;RIBEMONT;49.7885436581,3.47018526049
10410;VILLADIN;10290;;VILLADIN;48.316863996,3.69033893209
11107;COURTAULY;11230;;COURTAULY;43.0409426208,2.04467462056
02668;SAINS RICHAUMONT;02120;;SAINS RICHAUMONT;49.8276068685,3.70490926861
