Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
03167;MAZIRAT;03420;;MAZIRAT;46.2185045574,2.55398563
03303;VENAS;03190;;VENAS;46.4727802173,2.76726504
03174;MOLLES;03300;;MOLLES;46.1150413617,3.55648495184
03306;LE VERNET;03200;;LE VERNET;46.1067527363,3.47492140254
03176;MONETAY SUR ALLIER;03500;;MONETAY SUR ALLIER;46.3810175167,3.28932554471
03307;VERNEUIL EN BOURBONNAIS;03500;;VERNEUIL EN BOURBONNAIS;46.3540600283,3.25057881171
03181;MONTCOMBROUX LES MINES;03130;;MONTCOMBROUX LES MINES;46.3606934499,3.72808957144
03312;VIEURE;03430;;VIEURE;46.5001110432,2.88222237454
03189;MONTVICQ;03170;;MONTVICQ;46.315678912,2.82223124184
03315;VILLEFRANCHE D ALLIER;03430;;VILLEFRANCHE D ALLIER;46.3963110357,2.84126895926
03202;NOYANT D ALLIER;03210;;NOYANT D ALLIER;46.4796760503,3.11878325467
03320;YGRANDE;03160;;YGRANDE;46.5497137895,2.94199693043
03208;LE PIN;03130;;LE PIN;46.4222179747,3.88958660139
04001;AIGLUN;04510;;AIGLUN;44.0638744567,6.13842845338
03213;REUGNY;03190;;REUGNY;46.458404964,2.61328894387
04004;ALLEMAGNE EN PROVENCE;04500;;ALLEMAGNE EN PROVENCE;43.7887902464,6.03091832001
03214;ROCLES;03240;;ROCLES;46.4445146062,3.03677199137
04005;ALLONS;04170;;ALLONS;43.9803884973,6.59032744238
03219;ST BONNET DE FOUR;03390;;ST BONNET DE FOUR;46.314979417,2.90455342628
04006;ALLOS;04260;;ALLOS;44.2614961379,6.62671789984
03224;ST CLEMENT;03250;;ST CLEMENT;46.0577534847,3.7219179861
04013;AUBIGNOSC;04200;;AUBIGNOSC;44.1182449561,5.95734484907
03229;ST ENNEMOND;03400;;ST ENNEMOND;46.6808991637,3.40446807688
04020;BARLES;04140;;BARLES;44.2730280199,6.25325743878
03231;ST FARGEOL;03420;;ST FARGEOL;46.1343424286,2.63071732014
04025;BEAUVEZER;04370;;BEAUVEZER;44.1439752737,6.5977277471
03233;ST GENEST;03310;;ST GENEST;46.2634149323,2.60320533651
04030;BLIEUX;04330;;BLIEUX;43.8746274845,6.36279670798
03237;ST GERMAIN DE SALLES;03140;;ST GERMAIN DE SALLES;46.1871001813,3.22053975584
04032;BRAUX;04240;;BRAUX;43.993034454,6.69941127815
03243;ST MARCEL EN MURAT;03390;;ST MARCEL EN MURAT;46.3216708939,3.00484402977
04036;LE BRUSQUET;04420;;LE BRUSQUET;44.1681621392,6.30347351863
03249;ST PALAIS;03370;;ST PALAIS;46.4403223251,2.30568571701
04039;CASTELLANE;04120;EOULX;CASTELLANE;43.8449862174,6.49029842016
03251;ST PLAISIR;03160;;ST PLAISIR;46.6243818392,2.95587034653
04039;CASTELLANE;04120;TALOIRE;CASTELLANE;43.8449862174,6.49029842016
03253;ST POURCAIN SUR BESBRE;03290;;ST POURCAIN SUR BESBRE;46.4817772858,3.64933142149
04043;VAL DE CHALVAGNE;04320;VILLEVIEILLE;VAL DE CHALVAGNE;43.9046374337,6.76578520195
03254;ST POURCAIN SUR SIOULE;03500;;ST POURCAIN SUR SIOULE;46.3045094327,3.30537827054
04050;CHATEAUFORT;04250;;CHATEAUFORT;44.2750461186,6.0296701152
03255;ST PRIEST D ANDELOT;03800;;ST PRIEST D ANDELOT;46.0765718864,3.15433929793
04051;CHATEAUNEUF MIRAVAIL;04200;;CHATEAUNEUF MIRAVAIL;44.153315213,5.71757262461
03261;STE THERENCE;03420;;STE THERENCE;46.2433906142,2.57271161868
04057;CLAMENSANE;04250;;CLAMENSANE;44.3282663642,6.07850180008
03262;ST VICTOR;03410;;ST VICTOR;46.3882767935,2.60941319336
04061;COLMARS;04370;;COLMARS LES ALPES;44.1724272821,6.6615406144
03277;TARGET;03140;;TARGET;46.2848407144,3.04794632227
04062;LA CONDAMINE CHATELARD;04530;;LA CONDAMINE CHATELARD;44.4627686721,6.69629170403
03283;THIEL SUR ACOLIN;03230;;THIEL SUR ACOLIN;46.5311020411,3.57823760672
04067;CUREL;04200;;CUREL;44.1766055073,5.67267464668
03285;TORTEZAIS;03430;;TORTEZAIS;46.4456252579,2.87340721419
04070;DIGNE LES BAINS;04000;LES DOURBES;DIGNE LES BAINS;44.0908723554,6.23590323452
03288;TREIGNAT;03380;;TREIGNAT;46.3483905337,2.3521991874
04073;ENCHASTRAYES;04400;;ENCHASTRAYES;44.3640085405,6.71028980662
03289;TRETEAU;03220;;TRETEAU;46.3677104422,3.51996970707
04075;ENTREPIERRES;04200;ST SYMPHORIEN;ENTREPIERRES;44.1956537173,6.02224124199
03292;TRONGET;03240;;TRONGET;46.418633391,3.08862365583
04081;ESPARRON DE VERDON;04800;;ESPARRON DE VERDON;43.7438250286,5.98891639232
03294;USSEL D ALLIER;03140;;USSEL D ALLIER;46.2103626484,3.18945634007
04086;FAUCON DE BARCELONNETTE;04400;;FAUCON DE BARCELONNETTE;44.4135826726,6.67868075997
03296;VALIGNY;03360;;VALIGNY;46.7156221865,2.82039123195
04097;LA JAVIE;04000;ESCLANGON;LA JAVIE;44.1971990157,6.32157607452
03298;VARENNES SUR ALLIER;03150;;VARENNES SUR ALLIER;46.3170256578,3.40012828582
04102;LE LAUZET UBAYE;04340;;LE LAUZET UBAYE;44.432913878,6.41942527455
03300;VAUMAS;03220;;VAUMAS;46.4484082735,3.6241176484
04104;LIMANS;04300;;LIMANS;43.986604993,5.72366425789
03310;VICHY;03200;;VICHY;46.1300051383,3.42442081174
04113;MARCOUX;04420;;MARCOUX;44.128219237,6.28007885939
03311;VICQ;03450;;VICQ;46.1471274068,3.09596954152
04116;LES MEES;04190;;LES MEES;43.9944767361,5.96601755581
03317;VIPLAIX;03370;;VIPLAIX;46.461810965,2.36975422763
04126;MONTCLAR;04140;;MONTCLAR;44.401613844,6.34112805174
03319;VOUSSAC;03140;;VOUSSAC;46.3256833709,3.07336455653
04128;MONTFURON;04110;;MONTFURON;43.831580084,5.68859318549
04019;BARCELONNETTE;04400;;BARCELONNETTE;44.3785614205,6.65215089713
04136;LA MURE ARGENS;04170;;LA MURE ARGENS;44.0166107784,6.53196701824
04021;BARRAS;04380;;BARRAS;44.1006575617,6.09850212835
04137;NIBLES;04250;;NIBLES;44.2892541829,6.00872621678
04023;BAYONS;04250;ASTOIN;BAYONS;44.3249277264,6.17282537759
04139;NOYERS SUR JABRON;04200;;NOYERS SUR JABRON;44.1686523521,5.80998243978
04023;BAYONS;04250;REYNIER;BAYONS;44.3249277264,6.17282537759
04141;ONGLES;04230;;ONGLES;44.0314259831,5.72480881412
04024;BEAUJEU;04420;;BEAUJEU;44.2185950386,6.37119806932
04142;OPPEDETTE;04110;;OPPEDETTE;43.9306604764,5.59274330363
04033;UBAYE SERRE PONCON;04340;ST VINCENT LES FORTS;UBAYE SERRE PONCON;44.4434662119,6.28924750363
04151;PIERRERUE;04300;;PIERRERUE;43.9623331645,5.83601873141
04039;CASTELLANE;04120;;CASTELLANE;43.8449862174,6.49029842016
04157;PUIMOISSON;04410;;PUIMOISSON;43.8708152829,6.12200213815
04042;CASTELLET LES SAUSSES;04320;;CASTELLET LES SAUSSES;44.0403038573,6.73450900533
04158;QUINSON;04500;;QUINSON;43.7080624854,6.02269492276
04045;CERESTE;04280;;CERESTE;43.8503161664,5.58976926214
04160;REILLANNE;04110;;REILLANNE;43.8861362182,5.65935415272
04047;CHAMPTERCIER;04660;;CHAMPTERCIER;44.096935134,6.14456451427
04181;ST JEANNET;04270;;ST JEANNET;43.9793220173,6.11801552777
04049;CHATEAU ARNOUX ST AUBAN;04600;ST AUBAN;CHATEAU ARNOUX ST AUBAN;44.0854706133,5.99239535024
04187;ST LIONS;04330;;ST LIONS;43.9786318012,6.40627740741
04068;DAUPHIN;04300;;DAUPHIN;43.8932434369,5.776452248
04189;ST MARTIN DE BROMES;04800;;ST MARTIN DE BROMES;43.7774768739,5.96250175121
04069;DEMANDOLX;04120;;DEMANDOLX;43.8698630954,6.57440592456
04191;ST MARTIN LES SEYNE;04140;;ST MARTIN LES SEYNE;44.3827202732,6.2555532059
04072;DRAIX;04420;;DRAIX;44.1299391525,6.37179977607
04192;ST MICHEL L OBSERVATOIRE;04870;;ST MICHEL L OBSERVATOIRE;43.909879406,5.72004315449
04074;ENTRAGES;04000;;ENTRAGES;44.0379332734,6.26880026038
04195;ST PONS;04400;;ST PONS;44.4172713189,6.61507424866
04075;ENTREPIERRES;04200;;ENTREPIERRES;44.1956537173,6.02224124199
04199;ST VINCENT SUR JABRON;04200;;ST VINCENT SUR JABRON;44.1697659083,5.74794765286
04077;ENTREVENNES;04700;;ENTREVENNES;43.9378972717,6.03380903148
04207;SIGOYER;04200;;SIGOYER;44.3223711513,5.96102816265
04087;FONTIENNE;04230;;FONTIENNE;44.0068634181,5.79382501149
04216;THEZE;04200;;THEZE;44.3297532432,5.92502310147
04088;FORCALQUIER;04300;;FORCALQUIER;43.9599082374,5.7882827572
04228;VALAVOIRE;04250;;VALAVOIRE;44.2795099462,6.07615731535
04108;MALIJAI;04510;CHENERILLES;MALIJAI;44.0336660524,6.0504243737
04234;VENTEROL;05130;;VENTEROL;44.4423460092,6.0873850138
04112;MANOSQUE;04100;;MANOSQUE;43.8354040831,5.79106654173
04240;VILLARS COLMARS;04370;;VILLARS COLMARS;44.198291615,6.56876674305
